ឈ្មោះភ្ញៀវ,លេខទូរស័ព្ទ,អ៊ីមែល,ក្រុម,ផ្នែក,លេខតុ
"សៀក សុវណ្ណារ័ត្ន","078446688","sovannaroth.siek@gmail.com","សាច់ញាតិ","ខាងកូនកំលោះ","11"
"ហ៊ីង បូរមី","092113355","boremy.hing@gmail.com","មិត្តភក្តិ","ខាងកូនក្រមុំ","10"
"ឡាយ គឹមសាន","015886644","kimsan.lay@gmail.com","មិត្តរួមការងារ","ខាងកូនកំលោះ","12"
"សោម ច័ន្ទដារ៉ា","012997755","chandara.som@gmail.com","ភ្ញៀវកិត្តិយស VIP","ខាងកូនកំលោះ","VIP-03"
"តាំង គីមហុង","085664422","kimhong.tang@gmail.com","សាច់ញាតិ","ខាងកូនក្រមុំ","13"
"អ៊ុក សារ៉ាត់","098331199","sarat.ouk@gmail.com","មិត្តរួមការងារ","ខាងកូនក្រមុំ","14"
"ឌុច សុធី","070553311","sothy.duch@gmail.com","មិត្តភក្តិ","ខាងកូនកំលោះ","15"
"ព្រាប សុវត្ថិ","012777888","sovath.preap@gmail.com","ភ្ញៀវកិត្តិយស VIP","ខាងកូនកំលោះ","VIP-01"
"ពេជ្រ សោភា","010999000","sophea.pech@gmail.com","ភ្ញៀវកិត្តិយស VIP","ខាងកូនក្រមុំ","VIP-02"
"មាស សុខសោភា","077888999","soksophea.meas@gmail.com","ភ្ញៀវកិត្តិយស VIP","ខាងកូនក្រមុំ","VIP-03"
"ឱក សុគន្ធកញ្ញា","089666777","sokunkanha.aok@gmail.com","ភ្ញៀវកិត្តិយស VIP","ខាងកូនក្រមុំ","VIP-02"
"ខេមរៈ សិរីមន្ត","012555666","sereymon.khemrak@gmail.com","ភ្ញៀវកិត្តិយស VIP","ខាងកូនកំលោះ","VIP-01"
"សុគន្ធ និសា","096444555","nisa.sokun@gmail.com","មិត្តភក្តិ","ខាងកូនក្រមុំ","16"
"ឆន សុវណ្ណារាជ","078333222","sovannareach.chhorn@gmail.com","មិត្តភក្តិ","ខាងកូនកំលោះ","15"
"ណុប បាយ៉ារិទ្ធ","092222111","bayarith.nop@gmail.com","មិត្តរួមការងារ","ខាងកូនកំលោះ","12"
"យក់ ឋិតរដ្ឋា","015111222","thetratha.yuk@gmail.com","សាច់ញាតិ","ខាងកូនក្រមុំ","13"
"ឃុន ស្រីនិច","085999888","sreynich.khun@gmail.com","មិត្តភក្តិ","ខាងកូនក្រមុំ","16"
"ទេព បូព្រឹក្ស","098888777","boprek.tep@gmail.com","មិត្តភក្តិ","ខាងកូនកំលោះ","17"
"ងួន ចាន់ដេវីត","070777666","david.ngoun@gmail.com","មិត្តភក្តិ","ខាងកូនកំលោះ","17"
"ម៉ានិត វិជ្ជរ៉ា","017666555","vichara.manith@gmail.com","មិត្តរួមការងារ","ខាងកូនកំលោះ","18"
"ហេង ពិទូ","093555444","pitu.heng@gmail.com","មិត្តរួមការងារ","ខាងកូនកំលោះ","18"
"ឡូរ៉ា ម៉ម","011444333","laura.mam@gmail.com","ភ្ញៀវកិត្តិយស VIP","ខាងកូនក្រមុំ","VIP-03"
"ចិត្ត កញ្ចនា","086333444","kanchana.chit@gmail.com","សាច់ញាតិ","ខាងកូនក្រមុំ","19"
"រ៉េត ស៊ូហ្សាណា","099222333","suzana.reth@gmail.com","មិត្តភក្តិ","ខាងកូនក្រមុំ","16"
"ស៊ូលី ផេង","016111000","suly.pheng@gmail.com","មិត្តរួមការងារ","ខាងកូនក្រមុំ","14"
"វណ្ណា ស័ក្ត","012000111","sak.vanna@gmail.com","សាច់ញាតិ","ខាងកូនកំលោះ","11"
